case_id,article_id,start,end,surface_text,is_range,value,range_low,range_high,unit,unit_norm,unit_category,linked_entity_start,linked_entity_end,linked_entity_surface,linked_entity_type,link_method,linked_entity_cui,linked_entity_id
PMC11420039_01,PMC11420039,659,665,200 cm,False,200,,,cm,cm,length,503,514,lower limbs,BodyPart,window_fallback,C0023216,concept:C0023216
PMC11420039_01,PMC11420039,1305,1310,40 mg,False,40,,,mg,mg,mass,1196,1204,antibody,Treatment,window_fallback,C0003241,concept:C0003241
PMC11420039_01,PMC11420039,1414,1419,20 mg,False,20,,,mg,mg,mass,1349,1367,methylprednisolone,Treatment,same_sentence,C0025815,concept:C0025815
PMC11420039_01,PMC11420039,1439,1444,16 mg,False,16,,,mg,mg,mass,1349,1367,methylprednisolone,Treatment,same_sentence,C0025815,concept:C0025815
PMC11420039_01,PMC11420039,1838,1843,16 mg,False,16,,,mg,mg,mass,1796,1814,methylprednisolone,Treatment,same_sentence,C0025815,concept:C0025815
PMC11420039_01,PMC11420039,1863,1868,12 mg,False,12,,,mg,mg,mass,1796,1814,methylprednisolone,Treatment,same_sentence,C0025815,concept:C0025815
PMC11420039_01,PMC11420039,1987,1993,600 mg,False,600,,,mg,mg,mass,1920,1929,Dupilumab,Treatment,same_sentence,C3660996,concept:C3660996
PMC11420039_01,PMC11420039,1995,2001,300 mg,False,300,,,mg,mg,mass,1920,1929,Dupilumab,Treatment,same_sentence,C3660996,concept:C3660996
PMC11420039_01,PMC11420039,2031,2037,300 mg,False,300,,,mg,mg,mass,1920,1929,Dupilumab,Treatment,same_sentence,C3660996,concept:C3660996
PMC11420039_01,PMC11420039,3297,3301,4 mg,False,4,,,mg,mg,mass,3286,3293,reduced,Finding,same_sentence,C0392756,concept:C0392756
PMC11420039_01,PMC11420039,4541,4545,20 g,False,20,,,g,g,mass,4476,4496,Human immunoglobulin,Treatment,same_sentence,C0358321,concept:C0358321
PMC11420039_01,PMC11420039,4708,4714,1.6 mg,False,1.6,,,mg,mg,mass,4682,4704,subcutaneous injection,Treatment,same_sentence,C0021499,concept:C0021499
PMC11420039_01,PMC11420039,4719,4725,1 week,False,1,,,week,week,time,4682,4704,subcutaneous injection,Treatment,same_sentence,C0021499,concept:C0021499
PMC11722600_01,PMC11722600,232,238,day 20,False,20,,,day,day,time,197,210,genitourinary,BodyPart,window_fallback,C3887515,concept:C3887515
PMC11722600_01,PMC11722600,650,657,55 mg/L,False,55,,,mg/L,mg/l,lab_concentration,616,619,mm3,Finding,same_sentence,C3842088,concept:C3842088
PMC11722600_01,PMC11722600,663,669,5 mg/L,False,5,,,mg/L,mg/l,lab_concentration,616,619,mm3,Finding,same_sentence,C3842088,concept:C3842088
PMC11722600_01,PMC11722600,706,711,29 mm,False,29,,,mm,mm,length,672,697,erythrocyte sedimentation,Exam,same_sentence,C0005833,concept:C0005833
PMC11722600_01,PMC11722600,718,725,3-20 mm,True,,3,20,mm,mm,length,672,697,erythrocyte sedimentation,Exam,same_sentence,C0005833,concept:C0005833
PMC11722600_01,PMC11722600,991,995,8 mm,False,8,,,mm,mm,length,972,980,appendix,BodyPart,same_sentence,C0003617,concept:C0003617
PMC11722600_01,PMC11722600,1074,1078,4 cm,False,4,,,cm,cm,length,1052,1063,right ovary,BodyPart,same_sentence,C0227873,concept:C0227873
PMC11722600_01,PMC11722600,2256,2263,6 month,False,6,,,month,month,time,2240,2250,malignancy,Diagnosis,window_fallback,C0006826,concept:C0006826
